Id,created_at,full_text,label,type,explanation
1,Mon Jan 06 02:53:35 +0000 2025,Malaysia is a muslim country. They support Palestine &amp; Hamas. In August Malaysia brought in 100+ people &amp; their relatives from Gaza for medical treatment. These people are now rioting &amp; vandalizing a hotel in Kuala Lumpur. https://t.co/2Sp3JS2lb8,1,Fear-Mongering & Conspiracy,"Frames Muslim refugees as violent and ungrateful, associating them with Hamas and vandalism."
2,Sun Jan 05 18:41:56 +0000 2025,In Kerala a Hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal. Yet when CM Pinarayi Vijayan's son-in-law Minister Riyaz visits mosques or Markaz he s hailed as the epitome of secularism. This shameless hypocrisy lays bare the https://t.co/0wLz18nQHY,1,Religious Comparison,"Highlights perceived bias favoring Muslim practices while criticizing Hindu representation, implying unfairness."
3,Thu Jan 16 02:46:43 +0000 2025,HUGE: Bangladesh Constitution Reform Commission recommends to get rid of SECULARISM ~ Mohd. Yunus Adm. will soon approve ISLAMIC REPUBLIC OF BANGLADESH . Socialism and Nationalism to also get scrapped. Hindus of our country must WAKE UP else the writing is on the wall https://t.co/UPzPppxq8e,1,Fear-Mongering & Conspiracy,Predicts doom if Bangladesh adopts Islamic governance; incites fear of Islamization.
4,Mon Jan 06 03:22:36 +0000 2025,Malaysia allowed Palestinian refugees in their country. Now the same refugees have started violence there.. Not to forget Malaysia is a Muslim majority country and yet this..... Giving these people shelter is the same as digging your own grave. https://t.co/M8MFJER6nm,1,Fear-Mongering & Conspiracy,Suggests that helping Muslim refugees leads to violence and self-destruction.
5,Sat Jan 25 01:10:54 +0000 2025,Orang Melayu memang kuat bertoleransi tapi bukan tiket untuk orang pijak kepala. Banyak kebebasan dah diberi tapi masih ada yang sengaja nak usik lebih2 lagi bab agama. Semua benda ada limit. Kalau orang Melayu tak sabar tak wujud dah kaum lain kat sini. https://t.co/cc0UtUsaf7,1,Cultural Resistance to Islamization,"Claims excessive religious provocation and warns of Malay retaliation, implying threat."
6,Wed Jan 29 10:52:08 +0000 2025,Wanna know why penunggang agamas are scared of secularism? Because they are afraid they no longer get to weaponise religion for political mileage. So they convince you secularism is dangerous because it ll be the end of them. ,1,Cultural Resistance to Islamization,Accuses religious figures of using Islam for politics and fearmongering against secularism.
7,Tue Jan 14 11:07:07 +0000 2025,Quick history lesson: Malaysia rejected the merger because Malaysia wanted a muslim majority nation whereas Lee Kuan Yew wanted equal rights for everyone. Singapore won in the end!,1,Religious Comparison,Frames Malaysia's decision to prioritize Muslim majority over equality as a loss of moral ground.
8,Thu Jan 30 02:15:38 +0000 2025,MCA nampaknya menanam sentimen kebencian terhadap Melayu Islam dengan membuat posting dalam bahasa Cina sempena Israk Mikraj agar orang Melayu tidak faham. Mereka mempersoalkan bantuan kepada Palestin peruntukan untuk JAKIM dan pengedaran Al-Quran seolah-olah semua itu satu https://t.co/yjH1LlhcBt,1,Cultural Resistance to Islamization,Claims a non-Muslim party uses language barriers to stir hate against Islamic practices and institutions.
9,Fri Jan 03 07:53:00 +0000 2025,Islam semakin terancam‼️ Kini Melayu sudah berani mengaku jadi Paderi‼️ Bangkitlah umat Islam. Lawanlah agenda Kristianisasi. Sampai bila kita nak duduk diam⁉️ https://t.co/n3TRgLPU7v,1,Fear-Mongering & Conspiracy,Warns against Christianization and urges Muslim resistance; portrays Christianity as a threat.
10,Wed Jan 08 08:52:55 +0000 2025,Bagus la kuil dan gereja di promosi...masjid kita yg bertaraf dunia dan menjadi salah satu tarikan pelancung tidak di promosikan..inilah bahana bila menteri pelancungan kaki mabuk dan rasis..kena pulak bos #anwarderhaka jadi PM.. Tahniah #KerajaanDerhaka,1,Cultural Resistance to Islamization,"Expresses resentment toward a non-Muslim tourism minister for ignoring Islamic landmarks, with religious-political insult."
11,Tue Jan 28 00:09:37 +0000 2025,SERIGALA JADIAN Puncanya satu Kerajaan U-Turn bagi tol percuma ketika CNY. Tapi dia punya level amarah tu menggila. Tak semena2 diungkitnya polisi Kerajaan bantu rakyat Palestin ungkit lagi Inisiatif Kerajaan cetak Al-Quran. Komplen pasal budget JAKIM lagi. Tengok tu https://t.co/LSfN18FeNw,1,Cultural Resistance to Islamization,Accuses public of unreasonably criticizing Islamic-related spending; implies bias against Islam.
12,Sat Jan 25 03:19:52 +0000 2025,Kami parti PAS yang tegas dalam hal membabitkan umat Islam MEMBANTAH kemasukan singa ke pejabat kerajaan seperti ini‼️ Perbuatan meraikan singa seolah menyekutukan Allah swt dan boleh menjadi syirik dan jatuh murtad kepada umat Islam yang mengucapkan Gong Xi Fa Cai. Adalah https://t.co/dfcRHbXNzq,1,Religious Supremacy,"Declares interfaith cultural celebration as ""shirk"" and ""murtad"", asserting theological superiority and exclusion."
