Id,created_at,full_text,translated_text,label,type,explanation,cleaned_text
1,Mon Jan 06 02:53:35 +0000 2025,Malaysia is a muslim country. They support Palestine &amp; Hamas. In August Malaysia brought in 100+ people &amp; their relatives from Gaza for medical treatment. These people are now rioting &amp; vandalizing a hotel in Kuala Lumpur. https://t.co/2Sp3JS2lb8,Malaysia is a muslim country. They support Palestine &amp; Hamas. In August Malaysia brought in 100+ people &amp; their relatives from Gaza for medical treatment. These people are now rioting &amp; vandalizing a hotel in Kuala Lumpur. https://t.co/2Sp3JS2lb8,1,Fear-Mongering & Conspiracy,"Frames Muslim refugees as violent and ungrateful, associating them with Hamas and vandalism.",malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur
2,Sun Jan 05 18:41:56 +0000 2025,In Kerala a Hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal. Yet when CM Pinarayi Vijayan's son-in-law Minister Riyaz visits mosques or Markaz he s hailed as the epitome of secularism. This shameless hypocrisy lays bare the https://t.co/0wLz18nQHY,In Kerala a Hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal. Yet when CM Pinarayi Vijayan's son-in-law Minister Riyaz visits mosques or Markaz he s hailed as the epitome of secularism. This shameless hypocrisy lays bare the https://t.co/0wLz18nQHY,1,Religious Comparison,"Highlights perceived bias favoring Muslim practices while criticizing Hindu representation, implying unfairness.",in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the
3,Thu Jan 16 02:46:43 +0000 2025,HUGE: Bangladesh Constitution Reform Commission recommends to get rid of SECULARISM ~ Mohd. Yunus Adm. will soon approve ISLAMIC REPUBLIC OF BANGLADESH . Socialism and Nationalism to also get scrapped. Hindus of our country must WAKE UP else the writing is on the wall https://t.co/UPzPppxq8e,HUGE: Bangladesh Constitution Reform Commission recommends to get rid of SECULARISM ~ Mohd. Yunus Adm. will soon approve ISLAMIC REPUBLIC OF BANGLADESH . Socialism and Nationalism to also get scrapped. Hindus of our country must WAKE UP else the writing is on the wall https://t.co/UPzPppxq8e,1,Fear-Mongering & Conspiracy,Predicts doom if Bangladesh adopts Islamic governance; incites fear of Islamization.,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall
4,Mon Jan 06 03:22:36 +0000 2025,Malaysia allowed Palestinian refugees in their country. Now the same refugees have started violence there.. Not to forget Malaysia is a Muslim majority country and yet this..... Giving these people shelter is the same as digging your own grave. https://t.co/M8MFJER6nm,Malaysia allowed Palestinian refugees in their country. Now the same refugees have started violence there.. Not to forget Malaysia is a Muslim majority country and yet this..... Giving these people shelter is the same as digging your own grave. https://t.co/M8MFJER6nm,1,Fear-Mongering & Conspiracy,Suggests that helping Muslim refugees leads to violence and self-destruction.,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave
5,Sat Jan 25 01:10:54 +0000 2025,Orang Melayu memang kuat bertoleransi tapi bukan tiket untuk orang pijak kepala. Banyak kebebasan dah diberi tapi masih ada yang sengaja nak usik lebih2 lagi bab agama. Semua benda ada limit. Kalau orang Melayu tak sabar tak wujud dah kaum lain kat sini. https://t.co/cc0UtUsaf7,"The Malays are strongly tolerant but not a ticket for the head of the head. A lot of freedom has been given but some still want to be more religious. Everything has a limit. If the Malays can't wait, the other people are here. https://t.co/cc0utusaf7",1,Cultural Resistance to Islamization,"Claims excessive religious provocation and warns of Malay retaliation, implying threat.",the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here
6,Wed Jan 29 10:52:08 +0000 2025,Wanna know why penunggang agamas are scared of secularism? Because they are afraid they no longer get to weaponise religion for political mileage. So they convince you secularism is dangerous because it ll be the end of them. ,Wanna know why penunggang agamas are scared of secularism? Because they are afraid they no longer get to weaponise religion for political mileage. So they convince you secularism is dangerous because it ll be the end of them. ,1,Cultural Resistance to Islamization,Accuses religious figures of using Islam for politics and fearmongering against secularism.,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them
7,Tue Jan 14 11:07:07 +0000 2025,Quick history lesson: Malaysia rejected the merger because Malaysia wanted a muslim majority nation whereas Lee Kuan Yew wanted equal rights for everyone. Singapore won in the end!,Quick history lesson: Malaysia rejected the merger because Malaysia wanted a muslim majority nation whereas Lee Kuan Yew wanted equal rights for everyone. Singapore won in the end!,1,Religious Comparison,Frames Malaysia's decision to prioritize Muslim majority over equality as a loss of moral ground.,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end
8,Thu Jan 30 02:15:38 +0000 2025,MCA nampaknya menanam sentimen kebencian terhadap Melayu Islam dengan membuat posting dalam bahasa Cina sempena Israk Mikraj agar orang Melayu tidak faham. Mereka mempersoalkan bantuan kepada Palestin peruntukan untuk JAKIM dan pengedaran Al-Quran seolah-olah semua itu satu https://t.co/yjH1LlhcBt,The MCA seems to cultivate hatred for the Malay Muslims by posting in Chinese in conjunction with Israk Mikraj so that the Malays do not understand. They question the aid to Palestine for JAKIM and the distribution of the Quran as if it were all https://t.co/yjh1llhcbt,1,Cultural Resistance to Islamization,Claims a non-Muslim party uses language barriers to stir hate against Islamic practices and institutions.,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all
9,Fri Jan 03 07:53:00 +0000 2025,Islam semakin terancamâ¼ï¸ Kini Melayu sudah berani mengaku jadi Paderiâ¼ï¸ Bangkitlah umat Islam. Lawanlah agenda Kristianisasi. Sampai bila kita nak duduk diamâï¸ https://t.co/n3TRgLPU7v,Islam is increasingly threatened by the Malays now that they have dared to claim to be priests ¼ rise to Muslims. Fight the Christian agenda. Until when we want to sit still ¸ https://t.co/n3trglpu7v,1,Fear-Mongering & Conspiracy,Warns against Christianization and urges Muslim resistance; portrays Christianity as a threat.,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still
10,Wed Jan 08 08:52:55 +0000 2025,Bagus la kuil dan gereja di promosi...masjid kita yg bertaraf dunia dan menjadi salah satu tarikan pelancung tidak di promosikan..inilah bahana bila menteri pelancungan kaki mabuk dan rasis..kena pulak bos #anwarderhaka jadi PM.. Tahniah #KerajaanDerhaka,It's good for the temples and churches in the promotion ... our world -class mosque and one of the tourist attractions is not promoted ... this is when the Minister of Drunk and Racist Tourism ...,1,Cultural Resistance to Islamization,"Expresses resentment toward a non-Muslim tourism minister for ignoring Islamic landmarks, with religious-political insult.",its good for the temples and churches in the promotion  our world class mosque and one of the tourist attractions is not promoted  this is when the minister of drunk and racist tourism
11,Tue Jan 28 00:09:37 +0000 2025,SERIGALA JADIAN Puncanya satu Kerajaan U-Turn bagi tol percuma ketika CNY. Tapi dia punya level amarah tu menggila. Tak semena2 diungkitnya polisi Kerajaan bantu rakyat Palestin ungkit lagi Inisiatif Kerajaan cetak Al-Quran. Komplen pasal budget JAKIM lagi. Tengok tu https://t.co/LSfN18FeNw,The wolf is the cause of a U-turn government for a free toll during CNY. But he had a crazy level of anger. It is not possible for the government to help the Palestinians of the Palestinians in the process of the Quranic Printing Government initiative. Complaint about JAKIM's budget again. See that https://t.co/lsfn18fenw,1,Cultural Resistance to Islamization,Accuses public of unreasonably criticizing Islamic-related spending; implies bias against Islam.,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that
12,Sat Jan 25 03:19:52 +0000 2025,Kami parti PAS yang tegas dalam hal membabitkan umat Islam MEMBANTAH kemasukan singa ke pejabat kerajaan seperti iniâ¼ï¸ Perbuatan meraikan singa seolah menyekutukan Allah swt dan boleh menjadi syirik dan jatuh murtad kepada umat Islam yang mengucapkan Gong Xi Fa Cai. Adalah https://t.co/dfcRHbXNzq,We are a strict PAS party in matters of Muslims protesting lions to the office of government like this â ¼ The act of celebrating the lion seems to be associated with Allah Almighty and can be a shirk and apostasy to the Muslims who say Gong Xi Fa Cai. Is https://t.co/DFCRHBXNZQ,1,Religious Supremacy,"Declares interfaith cultural celebration as ""shirk"" and ""murtad"", asserting theological superiority and exclusion.",we are a strict pas party in matters of muslims protesting lions to the office of government like this a  1/4 the act of celebrating the lion seems to be associated with allah almighty and can be a shirk and apostasy to the muslims who say gong xi fa cai is
13,Wed Jan 01 08:28:31 +0000 2025,Minda Presiden PAS DOSA SEKULARISME LEBIH BESAR DARIPADA FITNAH DAN MEMBUNUH Teori sekularisme yang memisahkan urusan kehidupan manusia daripada agama ialah ciptaan manusia dalam kalangan ahli falsafah bukan Islam termasuk dalam syirik akbar yang menentang aqidah tauhid yang https://t.co/H4IAt16qwh,The mind of the PAS President Sin Secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non -Muslim philosophers including the Akbar shirk that oppose the monotheism https://t.co/h4iat16qWh,1,Religious Supremacy,Declares secularism worse than murder and incompatible with Islamic faith; promotes Islamic supremacy.,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism
14,Thu Jan 02 03:37:24 +0000 2025,SEKULAR &amp; ISLAM Ulamak Politik no. 1 Malaysia keluarkan dalil terbaru. Katanya Memfitnah dan Membunuh itu tidak seteruk fahaman sekularisme . Permulaan tahun baru dimulakan dengan dalil ala Amanat Hadi Awang tahun 1979 yang difatwakan haram âï¸âï¸âï¸âï¸ Saya baca dalil https://t.co/jaW96uUbMp,Secular & amp; Islamic Political Ulamak No. 1 Malaysia releases the latest arguments. He said slandering and killing it was not as bad as secularism. The beginning of the New Year began with the 1979 Hadi Awang Mandate of the 1979 Â ¸ ¸ ¸ ¸ Â ¸ I read the proposition https://t.co/jaw96uubmp,1,Religious Supremacy,Condemns secularism as worse than murder; asserts Islamic theological superiority.,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition
15,Mon Jan 27 20:25:44 +0000 2025,BAD SOLUTION. ALBANIA IS A PEACEFUL SECULAR MUSLIM COUNTRY IN EUROPE. THEY DON'T DESERVE BEING TREATED LIKE THAT. RELOCATE GAZA TO INDOENSIA AND MALAYSIA.,BAD SOLUTION. ALBANIA IS A PEACEFUL SECULAR MUSLIM COUNTRY IN EUROPE. THEY DON'T DESERVE BEING TREATED LIKE THAT. RELOCATE GAZA TO INDOENSIA AND MALAYSIA.,1,Fear-Mongering & Conspiracy,Suggests relocating Gaza to Malaysia/Indonesia; implies threat from Muslims.,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia
