Id,created_at,cleaned_text,type,aspect
1,Mon Jan 06 02:53:35 +0000 2025,malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur,Fear-Mongering & Conspiracy,Islamic Identity
1,Mon Jan 06 02:53:35 +0000 2025,malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur,Fear-Mongering & Conspiracy,Race
1,Mon Jan 06 02:53:35 +0000 2025,malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur,Fear-Mongering & Conspiracy,National Identity
2,Sun Jan 05 18:41:56 +0000 2025,in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the,Religious Comparison,Islamic Identity
2,Sun Jan 05 18:41:56 +0000 2025,in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the,Religious Comparison,Secularism
2,Sun Jan 05 18:41:56 +0000 2025,in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the,Religious Comparison,Politics
3,Thu Jan 16 02:46:43 +0000 2025,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall,Fear-Mongering & Conspiracy,Islamic Identity
3,Thu Jan 16 02:46:43 +0000 2025,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall,Fear-Mongering & Conspiracy,Secularism
3,Thu Jan 16 02:46:43 +0000 2025,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall,Fear-Mongering & Conspiracy,Social Issues
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Islamic Identity
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Religious Beliefs
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Race
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,National Identity
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Violence
5,Sat Jan 25 01:10:54 +0000 2025,the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here,Cultural Resistance to Islamization,Secularism
5,Sat Jan 25 01:10:54 +0000 2025,the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here,Cultural Resistance to Islamization,Religious Beliefs
5,Sat Jan 25 01:10:54 +0000 2025,the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here,Cultural Resistance to Islamization,Race
6,Wed Jan 29 10:52:08 +0000 2025,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them,Cultural Resistance to Islamization,Secularism
6,Wed Jan 29 10:52:08 +0000 2025,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them,Cultural Resistance to Islamization,Religious Beliefs
6,Wed Jan 29 10:52:08 +0000 2025,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them,Cultural Resistance to Islamization,Politics
7,Tue Jan 14 11:07:07 +0000 2025,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end,Religious Comparison,Islamic Identity
7,Tue Jan 14 11:07:07 +0000 2025,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end,Religious Comparison,Race
7,Tue Jan 14 11:07:07 +0000 2025,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end,Religious Comparison,National Identity
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Islamic Identity
