Id,created_at,cleaned_text,type,aspect,deberta_sentiment,confidence
1,Mon Jan 06 02:53:35 +0000 2025,malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.7942086
1,Mon Jan 06 02:53:35 +0000 2025,malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur,Fear-Mongering & Conspiracy,Race,negative,0.9246825
1,Mon Jan 06 02:53:35 +0000 2025,malaysia is a muslim country they support palestine and hamas in august malaysia brought in  people and their relatives from gaza for medical treatment these people are now rioting and vandalizing a hotel in kuala lumpur,Fear-Mongering & Conspiracy,National Identity,negative,0.87561727
2,Sun Jan 05 18:41:56 +0000 2025,in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the,Religious Comparison,Islamic Identity,negative,0.7247558
2,Sun Jan 05 18:41:56 +0000 2025,in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the,Religious Comparison,Secularism,negative,0.7939472
2,Sun Jan 05 18:41:56 +0000 2025,in kerala a hindu politician visiting a temple or wearing a sacred thread is instantly branded as communal yet when cm pinarayi vijayans soninlaw minister riyaz visits mosques or markaz he s hailed as the epitome of secularism this shameless hypocrisy lays bare the,Religious Comparison,Politics,negative,0.7887108
3,Thu Jan 16 02:46:43 +0000 2025,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall,Fear-Mongering & Conspiracy,Islamic Identity,neutral,0.8795324
3,Thu Jan 16 02:46:43 +0000 2025,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall,Fear-Mongering & Conspiracy,Secularism,negative,0.9766673
3,Thu Jan 16 02:46:43 +0000 2025,huge bangladesh constitution reform commission recommends to get rid of secularism  mohd yunus adm will soon approve islamic republic of bangladesh  socialism and nationalism to also get scrapped hindus of our country must wake up else the writing is on the wall,Fear-Mongering & Conspiracy,Social Issues,neutral,0.65488654
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.9371516
